Company,TypeName,Ram,OpSys,Weight,Price_euros,Touchscreen,Ips,ppi,Cpu_brand,HDD,SSD,Gpu_brand
Acer,Notebook,4,Windows 10,0.7884573603642703,572.0,0,0,4.950262293702735,Intel Core i3,0,256,Nvidia
HP,Notebook,8,Windows 10,0.7178397931503168,598.0,0,0,4.609706579589369,Intel Core i7,1000,0,Intel
HP,Notebook,8,Windows 10,0.4885800148186709,988.0,0,0,5.058475878342969,Intel Core i7,0,256,Intel
Lenovo,Notebook,4,No OS,0.6418538861723947,252.36,0,0,4.609706579589369,Other Intel Processor,1000,0,Intel
Asus,Gaming,8,Windows 10,1.0986122886681098,938.0,0,0,4.846826706454493,Intel Core i5,1000,128,Nvidia
Lenovo,Notebook,4,No OS,0.7884573603642703,499.0,0,0,4.950262293702735,Intel Core i5,1000,0,Nvidia
HP,Notebook,4,Windows 10,0.27763173659827955,699.0,0,1,5.109769172730519,Intel Core i5,0,256,Intel
Acer,Notebook,4,Windows 10,1.0986122886681098,655.0,0,1,4.846826706454493,Intel Core i3,1000,0,Nvidia
Lenovo,Notebook,8,Windows 10,0.5596157879354227,1116.02,0,1,5.058475878342969,Intel Core i5,0,256,AMD
Lenovo,Gaming,8,No OS,0.8754687373538999,869.0,0,1,4.950262293702735,Intel Core i7,0,256,Nvidia
Toshiba,Notebook,4,Windows 10,0.7419373447293773,602.0,0,0,4.609706579589369,Intel Core i5,500,0,Intel
HP,Notebook,4,Windows 10,0.62057648772511,369.0,0,0,4.609706579589369,AMD Processor,0,256,AMD
Asus,Ultrabook,8,Windows 10,0.22314355131420976,1099.0,0,0,5.058475878342969,Intel Core i7,0,256,Intel
HP,Ultrabook,8,Windows 10,-0.030459207484708574,2014.0,1,1,5.864951744209916,Other Intel Processor,0,512,Intel
Asus,Notebook,4,Windows 10,0.6931471805599453,344.0,0,0,4.950262293702735,Other Intel Processor,1000,0,Intel
MSI,Gaming,16,Windows 10,1.0647107369924282,2029.0,0,0,4.846826706454493,Intel Core i7,1000,256,Nvidia
Acer,Notebook,4,Windows 10,0.7419373447293773,447.0,0,0,4.609706579589369,Intel Core i3,1000,0,Intel
Dell,Gaming,16,Windows 10,0.9400072584914712,1249.26,0,0,4.950262293702735,Intel Core i7,0,512,Nvidia
Dell,Gaming,8,Windows 10,0.9631743177730056,899.0,0,0,4.950262293702735,Intel Core i7,0,0,Nvidia
Lenovo,Notebook,4,Windows 10,0.6418538861723947,498.0,0,0,4.609706579589369,Intel Core i5,0,128,Intel
MSI,Gaming,16,Windows 10,1.0296194171811581,1890.0,0,0,4.846826706454493,Intel Core i7,1000,256,Nvidia
HP,Ultrabook,4,Windows 10,0.3920420877760237,1082.0,0,0,5.058475878342969,Intel Core i5,0,256,Intel
HP,Notebook,6,Windows 10,0.6471032420585384,619.0,0,0,4.950262293702735,Intel Core i5,0,256,AMD
Lenovo,2 in 1 Convertible,4,Windows 10,0.5538851132264376,629.0,1,1,5.058475878342969,Intel Core i3,0,256,Intel
Asus,2 in 1 Convertible,8,Windows 10,0.09531017980432493,1315.0,1,0,5.109769172730519,Intel Core i5,0,256,Intel
Dell,2 in 1 Convertible,8,Windows 10,0.44468582126144574,1049.0,1,0,4.950262293702735,Intel Core i7,0,256,Intel
Toshiba,Notebook,4,Windows 10,0.7419373447293773,447.0,0,0,4.609706579589369,Intel Core i3,500,0,Intel
Asus,Notebook,4,Windows 10,0.7080357930536959,403.0,0,0,4.609706579589369,AMD Processor,1000,0,AMD
Acer,Notebook,4,Windows 10,1.0986122886681098,805.0,0,1,4.846826706454493,Intel Core i5,0,256,Nvidia
Dell,Notebook,8,Windows 10,0.7561219797213337,728.0,0,0,4.950262293702735,Intel Core i5,0,256,AMD
Lenovo,Gaming,16,Windows 10,0.9162907318741551,1079.0,0,1,4.950262293702735,Intel Core i7,0,256,Nvidia
Acer,Notebook,4,Windows 10,0.7419373447293773,348.0,0,0,4.609706579589369,Other Intel Processor,1000,0,Intel
MSI,Gaming,16,Windows 10,0.8754687373538999,1799.0,0,1,4.950262293702735,Intel Core i7,1000,256,Nvidia
Acer,Notebook,4,Windows 10,0.7419373447293773,363.51,0,0,4.609706579589369,Other Intel Processor,1000,0,Intel
Dell,Gaming,8,Windows 10,0.9400072584914712,1060.49,0,0,4.950262293702735,Intel Core i7,1000,128,Nvidia
Acer,Notebook,8,Windows 10,1.0986122886681098,854.0,0,1,4.846826706454493,Intel Core i5,0,256,Nvidia
HP,Notebook,4,Windows 10,0.3987761199573678,754.0,0,1,5.109769172730519,Intel Core i5,500,0,Intel
HP,Notebook,6,Windows 10,0.9969486348916096,699.0,0,1,4.846826706454493,Intel Core i5,2000,0,AMD
Lenovo,Notebook,4,No OS,0.7884573603642703,309.0,0,0,4.609706579589369,AMD Processor,500,0,AMD
Toshiba,Notebook,4,Windows 10,0.6931471805599453,489.0,0,0,4.609706579589369,Intel Core i3,500,0,Intel
HP,Notebook,8,Windows 10,0.9162907318741551,923.0,0,0,4.846826706454493,Intel Core i5,0,256,Nvidia
Dell,Notebook,8,Windows 10,0.8329091229351039,459.0,0,0,4.609706579589369,Intel Core i3,1000,0,Intel
